year,rate
1960,36.4
1961,35.179
1962,33.863
1963,32.459
1964,30.994
1965,29.513
1966,28.069
1967,26.721
1968,25.518
1969,24.492
1970,23.669
1971,23.058
1972,22.627
1973,22.342
1974,22.177
1975,22.111
1976,22.125
1977,22.192
1978,22.281
1979,22.362
1980,22.406
1981,22.39
1982,22.313
1983,22.172
1984,21.958
1985,21.668
1986,21.3
1987,20.869
1988,20.393
1989,19.886
1990,19.363
1991,18.842
1992,18.332
1993,17.839
1994,17.367
1995,16.911
1996,16.457
1997,15.994
1998,15.515
1999,15.024
2000,14.528
2001,14.041
2002,13.579
2003,13.153
2004,12.772
2005,12.441
2006,12.159
2007,11.919
2008,11.716